Hoxd4						Hoxd9					
wt			Del(CBS1-2)			wt			Del(CBS1-2)		
domain size	stembryo length	ratio	domain size	stembryo length	ratio	domain size	stembryo length	ratio	domain size	stembryo length	ratio
2.113	3.499	0.60	1.726	3.699	0.47	0.868	2.246	0.39	1.209	3.786	0.32
1.377	3.375	0.41	1.988	3.692	0.54	0.69	3	0.23	1.695	3.272	0.52
2.31	3.77	0.61	1.653	3.807	0.43	0.908	2.311	0.39	1.711	3.564	0.48
2.239	3.796	0.59	1.878	3.448	0.54	0.87	3.08	0.28	1.955	3.883	0.50
2.091	4.134	0.51	1.296	3.869	0.33	0.778	2.934	0.27	1.592	3.545	0.45
2.248	4.281	0.53	1.809	3.703	0.49	0.847	2.7	0.31	1.378	3.981	0.35
1.815	3.917	0.46	1.977	4.159	0.48	0.649	3.035	0.21	1.463	3.84	0.38
2.199	3.939	0.56	2.008	3.487	0.58	0.715	3.044	0.23	1.021	4.067	0.25
1.572	3.734	0.42	1.737	3.777	0.46	0.702	2.633	0.27	1.973	3.835	0.51
2.346	3.777	0.62	2.179	3.978	0.55	0.77	2.599	0.30	1.313	3.861	0.34
2.388	3.989	0.60	1.903	3.383	0.56	0.547	2.935	0.19	1.633	3.93	0.42
2.723	4.106	0.66	1.943	3.504	0.55	0.73	3.056	0.24	0.971	3.973	0.24
2.327	3.901	0.60	1.716	3.453	0.50	0.757	2.688	0.28	1.555	3.685	0.42
1.858	3.975	0.47	1.761	4.127	0.43	0.619	3.198	0.19	1.775	3.673	0.48
2.23	3.845	0.58	2.006	3.368	0.60	0.916	3.412	0.27	1.984	3.671	0.54
2.071	3.397	0.61	2.128	3.362	0.63	0.795	2.27	0.35	2.065	3.635	0.57
1.932	3.746	0.52	1.813	3.78	0.48	0.711	2.402	0.30	1.622	3.385	0.48
1.994	3.671	0.54	1.728	3.083	0.56	0.633	2.588	0.24	1.8	3.815	0.47
2.129	3.575	0.60	1.678	3.261	0.51	0.675	3.199	0.21	1.482	3.776	0.39
2.212	4.031	0.55	2.231	3.634	0.61	0.706	2.63	0.27	1.617	3.653	0.44
1.997	3.662	0.55	1.734	3.964	0.44	0.63	2.976	0.21	1.308	3.798	0.34
1.992	3.317	0.60	1.862	3.548	0.52	0.797	2.853	0.28	1.714	3.119	0.55
2.352	3.969	0.59	1.706	3.737	0.46	0.57	2.629	0.22	0.943	4.012	0.24
2.363	3.864	0.61	2.015	3.456	0.58	0.835	2.628	0.32	1.878	3.851	0.49
			1.753	4.025	0.44	0.789	2.981	0.26	1.92	3.635	0.53
			1.644	3.754	0.44	0.877	2.841	0.31	0.832	3.835	0.22
			1.732	4.057	0.43	0.872	2.785	0.31	1.582	3.191	0.50
			1.734	3.76	0.46	0.721	2.74	0.26	1.668	3.536	0.47
			1.458	3.754	0.39	0.663	2.659	0.25	1.743	3.131	0.56
			1.599	3.438	0.47	0.62	2.498	0.25	0.744	4.011	0.19
			2.104	3.236	0.65	0.785	2.956	0.27	1.718	3.756	0.46
			1.741	3.45	0.50	0.858	2.703	0.32	1.035	3.78	0.27
			1.723	2.844	0.61	0.62	3.065	0.20	1.771	3.993	0.44
			2.018	3.526	0.57	0.779	3.151	0.25	1.764	3.622	0.49
			2.125	3.798	0.56	0.848	3.203	0.26	1.717	3.447	0.50
			1.997	3.163	0.63	0.728	2.634	0.28	1.393	3.806	0.37
			1.925	3.444	0.56	0.64	3.072	0.21	1.453	3.893	0.37
			1.706	2.895	0.59	0.593	2.617	0.23	1.787	3.67	0.49
			1.461	2.882	0.51	0.694	2.814	0.25	1.775	3.227	0.55
			2.119	3.109	0.68	0.669	2.799	0.24	0.957	3.63	0.26
			1.563	2.859	0.55	0.906	3.237	0.28	1.728	3.302	0.52
			2.069	3.802	0.54	0.594	2.455	0.24	1.661	3.344	0.50
			1.968	3.425	0.57	0.679	3.375	0.20	0.799	3.868	0.21
			2.022	3.645	0.55	0.896	2.911	0.31	1.881	3.605	0.52
			1.579	3.384	0.47	0.875	2.459	0.36	1.443	3.804	0.38
			2.219	3.797	0.58	1.037	2.56	0.41	1.629	2.865	0.57
			2.012	3.581	0.56	0.913	2.503	0.36	1.549	3.793	0.41
			1.899	3.532	0.54	0.901	2.866	0.31			
			1.538	3.149	0.49	0.244	2.917	0.08			
			2.068	3.697	0.56	0.576	2.668	0.22
